Zip Code,population,white%,black%,other%,High School/middle,Student/Teacher,Hosptials,Test Sites,Health Depts,Fire Dep,Police St
63017,"41,239.00",82.69,3.5,13.81,,,1,,,,1
63026,"44,897.00",92.78,1.05,6.17,,,1,,,,2
63031,"46,673.00",61.93,32.18,5.89,,,1,,,,
63033,"41,890.00",28.11,67.82,4.07,,,,,,,1
63034,"18,729.00",30.65,64.06,5.29,,,,,,1,
63042,"19,123.00",51.11,41.43,7.46,,,,,,0,1
63043,"22,149.00",68.96,13.21,17.83,,,1,,,,1
63044,"10,482.00",67.63,21.58,10.79,,,1,,,,1
63101,"3,754.00",55.67,36.23,8.1,,,,,,,2
63102,"2,264.00",48.76,34.94,16.3,,,,,,2,
63103,"8,468.00",55.86,35.23,8.91,,,,,,,2
63104,"17,906.00",56.29,37.99,5.72,,,,,,2,1
63105,"17,477.00",74.17,7.95,17.88,2,10.55,,,,1,3
63106,"11,050.00",7.16,89.85,2.99,,,,,,2,1
63107,"10,538.00",7.74,88.84,3.42,,,,,,1,
63108,"19,663.00",60.39,24.07,15.54,,,,,,1,
63109,"24,344.00",86.77,7.94,5.29,,,,,,2,
63110,"17,262.00",64.37,26.86,8.77,,,,,,2,
63111,"18,216.00",48.28,41.34,10.38,,,,,,3,
63112,"18,882.00",27.35,63.17,9.48,,,,,,2,
63113,"11,896.00",5.24,91.45,3.31,,,,,,1,
63114,"35,075.00",56.21,30.85,12.94,1,19.8,,,,2,3
63115,"18,086.00",1.85,94.95,3.2,,,,,,2,1
63116,"35,565.00",66.26,19.26,14.48,,,,,,1,
63117,"8,844.00",80.77,10.17,9.06,,,1,,,1,1
63118,"24,701.00",40.91,47.5,11.59,,,,,,3,
63119,"32,972.00",86.56,7.81,5.63,2,16.35,,,,3,3
63120,"9,023.00",1.9,94.94,3.16,,,,,,1,
63121,"24,703.00",12.04,83,4.96,1,12.5,1,1,1,1,10
63122,"34,409.00",89.68,4.93,5.39,1,15.4,1,,,2,1
63123,"48,544.00",89.94,3.06,7,1,16.3,,,,2,1
63124,"10,469.00",86.98,4.74,8.28,1,14.5,,,,,1
63125,"31,374.00",89.85,4.19,5.96,2,16.1,1,,,2,1
63126,"14,613.00",90.32,2.54,7.14,2,11.35,,,,1,2
63127,"5,207.00",89.36,2.75,7.89,1,23.9,,2,1,,
63128,"29,132.00",94.4,1.52,4.08,,,1,,,,
63129,"54,070.00",92.38,2.16,5.46,1,15.6,,,,,
63130,"29,647.00",51.66,37.06,11.28,1,13.8,,,,1,1
63131,"16,214.00",88.13,2.43,9.44,1,25.5,1,,,2,2
63132,"13,802.00",44.14,38.18,17.68,,,,,,1,1
63133,"7,857.00",5.49,89.81,4.7,1,11.1,,,,1,2
63134,"12,902.00",23.23,67.97,8.8,1,9.9,,1,1,1,2
63135,"20,205.00",26.75,68.79,4.46,1,12,,,,1,1
63136,"46,617.00",6.51,90.9,2.59,1,16.9,1,1,,1,2
63137,"19,659.00",16.77,80.44,2.79,1,17.1,,,,1,2
63138,"19,645.00",15.65,80.08,4.27,6,9,,,,1,1
63139,"20,459.00",85.02,7.78,7.2,,,,,,1,1
63140,391.00,12.79,83.89,3.32,,,,,,1,
63141,"21,309.00",73.57,9.42,17.01,,,2,,,1,
63143,"9,263.00",73.5,16.61,9.89,2,11.25,,,,,1
63144,"9,468.00",81.81,5.54,12.65,1,11,,,,1,1
63146,"29,521.00",64.85,18.09,17.06,1,14.5,,,,1,
63147,"9,950.00",6.21,89.56,4.23,,,,,,2,
